action,semantic_task,prompt_namespace,provider,model,input_tokens,output_tokens,estimated_cost_usd
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,815,365,0.000601
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,624,238,0.00041
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,757,229,0.000426
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,3275,363,0.001091
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,16315,1987,0.005647
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,3293,420,0.001163
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9365,1634,0.003834
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,11581,848,0.003334
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,11433,607,0.003015
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,12483,1961,0.00485
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,12665,2892,0.006003
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,14659,2198,0.005569
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,13867,233,0.003053
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,2895,1538,0.002425
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,5815,1151,0.002544
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,5307,862,0.002096
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,3079,420,0.00112
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,13619,2048,0.004896
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,12763,2975,0.006123
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,13581,1387,0.004381
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,17207,2803,0.006805
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,629,273,0.000453
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,880,364,0.000613
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,10187,208,0.002287
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,8829,492,0.002356
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,9168,459,0.002384
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,893,394,0.000651
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,8866,987,0.002958
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,889,470,0.000742
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,848,443,0.000701
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,12329,1992,0.004856
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,668,153,0.000317
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,898,590,0.000888
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,937,553,0.000851
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,818,586,0.000867
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9628,2054,0.00439
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,865,262,0.000487
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,828,480,0.000742
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,14552,473,0.003478
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,436,168,0.000289
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,14483,356,0.003324
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,6400,502,0.001882
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,6424,124,0.001434
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,15425,2077,0.005577
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,15607,2795,0.006475
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,17660,1984,0.005913
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,16758,198,0.003589
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,3466,2134,0.003254
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,6214,2189,0.00387
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,4034,412,0.001301
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,14943,2048,0.005161
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,14107,3086,0.006525
artifacts:regenerate:insights_candidates,artifacts:regenerate:insights_candidates,report_vs/artifacts/regenerate/insights_candidates,openai,gpt-5.6-luna,9763,2902,0.005435
artifacts:regenerate:insights_final,artifacts:regenerate:insights_final,report_vs/artifacts/regenerate/insights_final,openai,gpt-5.6-luna,12138,2781,0.005765
artifacts:regenerate:expert_comment,artifacts:regenerate:expert_comment,report_vs/artifacts/regenerate/expert_comment,openai,gpt-5.6-luna,3559,196,0.000947
artifacts:regenerate:linkedin_post,artifacts:regenerate:linkedin_post,report_vs/artifacts/regenerate/linkedin_post,openai,gpt-5.6-luna,3306,1060,0.001933
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,3272,734,0.001535
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,584,179,0.000332
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,497,241,0.000389
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,15431,996,0.004281
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,23567,2169,0.007316
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,9790,180,0.002174
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,9526,449,0.002444
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,7871,490,0.002162
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,11301,618,0.003002
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,14878,1509,0.004786
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,1068,185,0.000436
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9337,1908,0.004157
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,12590,531,0.003155
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,12399,567,0.00316
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,13399,2392,0.00555
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,13581,3531,0.006953
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,15648,2406,0.006017
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,14737,176,0.003159
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,3097,1004,0.001824
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,5741,1213,0.002604
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,5364,831,0.00207
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,3959,493,0.001383
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,13398,2048,0.004852
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,12583,3447,0.006653
artifacts:regenerate:insights_candidates,artifacts:regenerate:insights_candidates,report_vs/artifacts/regenerate/insights_candidates,openai,gpt-5.6-luna,9753,2775,0.005281
artifacts:regenerate:insights_final,artifacts:regenerate:insights_final,report_vs/artifacts/regenerate/insights_final,openai,gpt-5.6-luna,11741,2373,0.005196
artifacts:regenerate:expert_comment,artifacts:regenerate:expert_comment,report_vs/artifacts/regenerate/expert_comment,openai,gpt-5.6-luna,3128,384,0.001086
artifacts:regenerate:expert_comment,artifacts:regenerate:expert_comment,report_vs/artifacts/regenerate/expert_comment,openai,gpt-5.6-luna,2093,85,0.000521
artifacts:regenerate:expert_comment,artifacts:regenerate:expert_comment,report_vs/artifacts/regenerate/expert_comment,openai,gpt-5.6-luna,2303,398,0.000938
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,3982,491,0.001386
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,13278,2048,0.004828
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,12453,2413,0.005386
artifacts:regenerate:insights_candidates,artifacts:regenerate:insights_candidates,report_vs/artifacts/regenerate/insights_candidates,openai,gpt-5.6-luna,9753,2301,0.004712
artifacts:regenerate:insights_final,artifacts:regenerate:insights_final,report_vs/artifacts/regenerate/insights_final,openai,gpt-5.6-luna,12050,3350,0.00643
artifacts:regenerate:expert_comment,artifacts:regenerate:expert_comment,report_vs/artifacts/regenerate/expert_comment,openai,gpt-5.6-luna,2060,81,0.000509
artifacts:regenerate:expert_comment,artifacts:regenerate:expert_comment,report_vs/artifacts/regenerate/expert_comment,openai,gpt-5.6-luna,2093,100,0.000539
artifacts:regenerate:expert_comment,artifacts:regenerate:expert_comment,report_vs/artifacts/regenerate/expert_comment,openai,gpt-5.6-luna,2198,229,0.000714
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,3958,446,0.001327
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,12968,2048,0.004766
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,12142,2810,0.0058
artifacts:regenerate:insights_candidates,artifacts:regenerate:insights_candidates,report_vs/artifacts/regenerate/insights_candidates,openai,gpt-5.6-luna,9753,1796,0.004106
artifacts:regenerate:insights_final,artifacts:regenerate:insights_final,report_vs/artifacts/regenerate/insights_final,openai,gpt-5.6-luna,11958,2404,0.005276
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,3960,498,0.00139
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,12848,2048,0.004742
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,12017,3936,0.007127
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,8342,968,0.00283
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,734,326,0.000538
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,386,163,0.000273
rank_candidates,rank_candidates,rank_candidates,openai,gpt-5.6-luna,870,712,0.001028
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,5724,1491,0.002934
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,3413,261,0.000996
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,5095,419,0.001522
rank_candidates:crop_refine,rank_candidates:crop_refine,rank_candidates/crop_refine,openai,gpt-5.6-luna,6404,616,0.00202
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,3511,653,0.001486
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,5092,280,0.001354
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,6498,1081,0.002597
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,936,171,0.000392
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,671,166,0.000333
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,940,163,0.000384
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9103,1707,0.003869
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,13606,806,0.003688
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,13667,570,0.003417
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,14476,2118,0.005437
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,14658,2131,0.005489
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,16072,1579,0.005109
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,15142,199,0.003267
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,3218,1708,0.002693
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,5078,1360,0.002648
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,4714,1242,0.002433
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,3105,493,0.001213
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,13225,2048,0.004817
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,12392,2700,0.005718
taxonomy,taxonomy,report_vs/taxonomy,openai,gpt-5.6-luna,12741,1192,0.003979
doc_map,doc_map,report_vs/doc_map,openai,gpt-5.6-luna,17493,2173,0.006106
evidence_packs:scope,evidence_packs:scope,report_vs/evidence_packs/scope,openai,gpt-5.6-luna,9308,241,0.002151
evidence_packs:methods,evidence_packs:methods,report_vs/evidence_packs/methods,openai,gpt-5.6-luna,9307,533,0.002501
evidence_packs:quote_candidates,evidence_packs:quote_candidates,report_vs/evidence_packs/quote_candidates,openai,gpt-5.6-luna,9605,496,0.002516
evidence_packs:limitations,evidence_packs:limitations,report_vs/evidence_packs/limitations,openai,gpt-5.6-luna,17300,523,0.004088
evidence_packs:findings,evidence_packs:findings,report_vs/evidence_packs/findings,openai,gpt-5.6-luna,11328,1589,0.004172
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,867,126,0.000325
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,839,134,0.000329
context_category_fit,context_category_fit,report_vs/context_category_fit,openai,gpt-5.6-luna,9481,1622,0.003843
artifacts:editorial_plan,artifacts:editorial_plan,report_vs/artifacts/editorial_plan,openai,gpt-5.6-luna,13535,404,0.003192
artifacts:quotes,artifacts:quotes,report_vs/artifacts/quotes,openai,gpt-5.6-luna,13420,232,0.002962
artifacts:summary,artifacts:summary,report_vs/artifacts/summary,openai,gpt-5.6-luna,14364,1969,0.005236
artifacts:insights_candidates,artifacts:insights_candidates,report_vs/artifacts/insights_candidates,openai,gpt-5.6-luna,14546,2663,0.006105
artifacts:insights_final,artifacts:insights_final,report_vs/artifacts/insights_final,openai,gpt-5.6-luna,16153,1888,0.005496
artifacts:cover_semantics,artifacts:cover_semantics,report_vs/artifacts/cover_semantics,openai,gpt-5.6-luna,15277,197,0.003292
artifacts:expert_comment,artifacts:expert_comment,report_vs/artifacts/expert_comment,openai,gpt-5.6-luna,3028,1532,0.002444
artifacts:linkedin_post,artifacts:linkedin_post,report_vs/artifacts/linkedin_post,openai,gpt-5.6-luna,5729,1492,0.002936
validate:semantic,validate:semantic,report_vs/validate/semantic,openai,gpt-5.6-luna,4181,355,0.001262
validate:grounding,validate:grounding,report_vs/validate/grounding,openai,gpt-5.6-luna,13442,2048,0.004861
structured_output:repair,structured_output:repair,report_vs/structured_output/repair,openai,gpt-5.6-luna,12680,3040,0.006184
